,x_avg_pixel,amostras,proporção,higher_than_threshold
616,0.06798408,ddgan,0.3,0.0
617,0.91366804,ddgan,0.3,1.0
618,0.92159545,ddgan,0.3,1.0
619,0.12568934,ddgan,0.3,0.0
620,0.94652647,ddgan,0.3,1.0
621,0.12400046,ddgan,0.3,0.0
622,0.14646524,ddgan,0.3,0.0
623,0.09423254,ddgan,0.3,0.0
624,0.8623966,ddgan,0.3,1.0
625,0.07558977,ddgan,0.3,0.0
626,0.18124618,ddgan,0.3,0.0
627,0.1418237,ddgan,0.3,0.0
628,0.07263328,ddgan,0.3,0.0
629,0.11201747,ddgan,0.3,0.0
630,0.90319395,ddgan,0.3,1.0
631,0.15353096,ddgan,0.3,0.0
632,0.88589925,ddgan,0.3,1.0
633,0.10176547,ddgan,0.3,0.0
634,0.09759115,ddgan,0.3,0.0
635,0.19923024,ddgan,0.3,0.0
636,0.816502,ddgan,0.3,1.0
637,0.11900276,ddgan,0.3,0.0
638,0.13059515,ddgan,0.3,0.0
639,0.14765245,ddgan,0.3,0.0
640,0.08516774,ddgan,0.3,0.0
641,0.196538,ddgan,0.3,0.0
642,0.1163603,ddgan,0.3,0.0
643,0.1863396,ddgan,0.3,0.0
644,0.14154795,ddgan,0.3,0.0
645,0.16765855,ddgan,0.3,0.0
646,0.09272749,ddgan,0.3,0.0
647,0.90148985,ddgan,0.3,1.0
648,0.16854703,ddgan,0.3,0.0
649,0.10985754,ddgan,0.3,0.0
650,0.20736061,ddgan,0.3,0.0
651,0.8832606,ddgan,0.3,1.0
652,0.08757659,ddgan,0.3,0.0
653,0.93098575,ddgan,0.3,1.0
654,0.14592908,ddgan,0.3,0.0
655,0.123571545,ddgan,0.3,0.0
656,0.20598193,ddgan,0.3,0.0
657,0.1549977,ddgan,0.3,0.0
658,0.1785271,ddgan,0.3,0.0
